405nmdiode
Integration time [ms]:   2,000
Averaging Nr. [scans]: 2
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1005064U1
Wave   ;Sample   ;Dark     ;Reference;Scope Corrected for Dark
[nm]   ;[counts] ;[counts] ;[counts] 

 177,70;  506,500;  429,500;    0,000;77,00000
 178,04;  491,000;  472,000;    0,000;19,00000
 178,38;  454,000;  411,000;    0,000;43,00000
 178,73;  491,500;  431,500;    0,000;60,00000
 179,07;  473,500;  425,000;    0,000;48,50000
 179,41;  503,000;  456,500;    0,000;46,50000
 179,75;  461,500;  432,000;    0,000;29,50000
 180,09;  494,000;  416,000;    0,000;78,00000
 180,44;  492,500;  423,500;    0,000;69,00000
 180,78;  499,500;  428,000;    0,000;71,50000
 181,12;  505,000;  481,000;    0,000;24,00000
 181,46;  452,500;  421,500;    0,000;31,00000
 181,81;  439,500;  406,000;    0,000;33,50000
 182,15;  460,000;  387,500;    0,000;72,50000
 182,49;  479,500;  403,500;    0,000;76,00000
 182,83;  448,500;  392,000;    0,000;56,50000
 183,17;  458,000;  392,500;    0,000;65,50000
 183,52;  438,500;  380,000;    0,000;58,50000
 183,86;  485,000;  416,500;    0,000;68,50000
 184,20;  448,500;  435,500;    0,000;13,00000
 184,54;  469,000;  429,000;    0,000;40,00000
 184,88;  454,000;  440,000;    0,000;14,00000
 185,23;  472,000;  389,500;    0,000;82,50000
 185,57;  430,500;  397,000;    0,000;33,50000
 185,91;  504,000;  430,500;    0,000;73,50000
 186,25;  446,000;  411,000;    0,000;35,00000
 186,59;  430,500;  417,000;    0,000;13,50000
 186,94;  465,000;  434,500;    0,000;30,50000
 187,28;  458,000;  414,500;    0,000;43,50000
 187,62;  456,500;  397,000;    0,000;59,50000
 187,96;  456,500;  434,000;    0,000;22,50000
 188,30;  409,000;  404,000;    0,000; 5,00000
 188,65;  483,000;  445,000;    0,000;38,00000
 188,99;  469,000;  405,000;    0,000;64,00000
 189,33;  445,000;  428,000;    0,000;17,00000
 189,67;  497,000;  403,500;    0,000;93,50000
 190,01;  450,000;  461,000;    0,000;-11,00000
 190,36;  433,000;  452,000;    0,000;-19,00000
 190,70;  448,000;  429,000;    0,000;19,00000
 191,04;  456,000;  402,500;    0,000;53,50000
